file	unit	lesson	title	headings	intro_first_sentence	example_count	you-try_count	you-try-m_count	think_count	remember_count	gotcha_count	real-world_count	note_count	you_try_titles	remember_snippets	gotcha_snippets	think_snippets
chapters/Unit_1/1.1_Integers_&_Number_Lines.qmd	1	1.1	1.1 - Integers & Number Lines		Did you know that all of mathematics is actually built up from simple things like counting?	1	1	0	4	0	2	4	0	Compare 3 to -8 using a number line.		"**Example 1:** How many numbers between 3 and 5? | It is easy to get confused here. When we say which number is ""bigger"" (or greater than), we are asking which number is …"	Here are a few examples: | The opposite of zero is zero. Zero is the only number that is its own opposite!
chapters/Unit_1/1.2_Factors_Multiples_&_Prime_Factorization.qmd	1	1.2	1.2 - Factors, Multiples & Prime Factorization		Have you ever had to split something up evenly, like slices of pizza or players on a team?	3	1	0	1	0	0	2	0	Can you find at least one more factor tree for 360?			Only one number does: **1**. It only has itself as a factor!
chapters/Unit_1/1.3_GCF_&_Simplifying_Fractions.qmd	1	1.3	1.3 - GCF & Simplifying Fractions		Suppose you’re making snack packs and have 20 bags of chips and 35 cookies.	0	3	0	0	0	1	1	0	Find the GCF for 45 and 180.|Use factor trees to divide 480 by 60.|Write $\frac{30}{90}$ in simplest form		If the numerator and denominator of a fraction share no common factors (besides 1) the two numbers are called {{< glink…	
chapters/Unit_1/1.4_Multiply_Divide_&_Compare_Fractions.qmd	1	1.4	1.4 - Multiplying & Dividing Fractions		In previous lessons, you've learned how fractions, decimals, and percents relate to each other.	5	4	0	0	1	1	1	0	$\frac{3}{5} \times \frac{4}{7}$|$5 \times \frac{3}{4}$|$\frac{8}{9} \times \frac{3}{4}$|$3 \tfrac{2}{3} \times 4 \tfrac{1}{2}$	Dividing fractions is as easy as 1-2-3:	Zero has no reciprocal (you can’t divide by 0). For mixed numbers, convert to an improper fraction before taking the re…	
chapters/Unit_1/1.5_Adding_and_Subtracting_Fractions.qmd	1	1.5	1.5 - Adding & Subtracting Fractions		In earlier lessons, you learned how to multiply and divide fractions.	6	2	0	0	0	1	0	0	$\frac{10}{15} - \frac{4}{15}$|Add $\frac{2}{3} + \frac{1}{6}$		A common mistake students make is to add the numerators together **and** the denominators together. **Only add the nume…	
chapters/Unit_1/1.6_Fractions_Decimals_&_Percents.qmd	1	1.6	1.6 - Fractions, Decimals & Percents: Conversions		Fractions, decimals, and percents are just different ways of showing the same thing (a part of a whole).	6	6	0	0	1	1	0	0	Write $\frac{2}{5}$ as a decimal.|What is 1.342 as a percent?|What is $\frac{2}{3}$ as a percent?|Write 0.51 as a fraction.|What is 35% as a decimal?|What is 35% as a fraction?	Some conversions are so common that it helps to **memorize** them. These are called **benchmark values**:	When you use a calculator to turn a fraction into a decimal, the result might look like it stops, but that can be misle…	
chapters/Unit_1/1.7_Solving_Problems_with_Fractions_Decimals_and_Percents.qmd	1	1.7	1.7 - Solving Problems With Fractions, Decimals & Percents		Now that you know how to multiply and divide fractions, you're ready to apply those skills to real-life problems.	6	6	0	0	1	0	0	0	What is 10% of 50?|If 3 out of 75 students get enough sleep, what percent is that?|20% of a number is 12. What is the number?|If John got 20 out of 25 questions correct, what is his grade?|Swanhilda finds a $300 prom dress on sale at 65% off. What does the dress cost?|If a survey found 550 -- which is 55% -- like cucumbers. How many students were surveyed?	Convert the percent to a decimal first!		
chapters/Unit_1/1.8_Order_of_Operations.qmd	1	1.8	1.8 - Order of Operations		What does this equal?	8	3	0	3	2	1	1	0	$5(8 - 1) + 2 \times 3$|$-3 \times (4 - 7)$|$\left[ 5 + (3^2 - 1) \right] \times 2$	We often remember the order using **PEMDAS**: | PEMDAS starts with **grouping**, and that means more than just parentheses!	$-3^2$ means $-(3^2)$, which is:	Because they are **two sides of the same operation**. | What does multiplying by a negative number do?
chapters/Unit_2/2.1_Expressions_and_Their_Parts.qmd	2	2.1	2.1 - Expressions & Their Parts		Learning mathematics is about more than number crunching, you’re learning a new language.	4	2	2	0	0	2	0	0	Write an expression that represents 10 boxes of pencils|Make your own expression with 4+ terms. List the parts.		"In algebra, we usually don’t use $\times$ for multiplication. Instead, we use a dot ""$\cdot$"" or simply place terms nex… | The sign (+ or −) belongs to the term."	
chapters/Unit_2/2.2_Evaluating_Expressions.qmd	2	2.2	2.2 - Evaluating Expressions		In the last lessons, you learned how to solve one-step and two-step {{< glink slug=equation text=equations >}}.	8	3	1	1	1	2	0	0	Evaluate $5x-2$ when $x=-3$|Evaluate $20(x - 2) + 2x^2$ when $x=5$.|Evaluate $\frac{1}{2}x^2 - 3y$ when $x = 4$ and $y = 3$.	"When you see ""**=**"", think ""**is**"". In the previous example, we could say ""x **is** 3""."	It is easy to lose track of negative signs when substituting numbers in an expression. To avoid mistakes, put parenthes… | When we substitute numbers to check if two expressions are equivalent, we are really testing a {{< glink hypothesis >}}:	$4x + 1$ -- The story
chapters/Unit_2/2.3_Combining_Like_Terms.qmd	2	2.3	2.3 - Combining Like Terms		When we speak, we sometimes **shorten** a sentence without changing its meaning.	2	2	1	1	1	2	1	0	Simplify $2z - 3z^2 + 5z^3 - z^2 + 5z^3 - 8 - z$|Simplify $3b - 2 + 4b - 5$ and check your work.	The **sign** (+ or -) belongs with the term. In $7x - 2x$ the terms are $+7x$ and $-2x$.	Always remember that the powers need to be the same. That means terms like $p^3$ and $p^2$ are **not** like terms. They… | In the previous example, notice what happened when we grouped the $x$ terms. The negative stayed with $-1.5x$. We had t…	We can change the order because addition is {{< glink commutative >}} (and subtraction is adding a negative).
chapters/Unit_2/2.4_The_Distributive_Property.qmd	2	2.4	2.4 - The Distributive Property		Imagine your football (soccer) team wants to order new jerseys.	5	4	0	0	0	2	0	0	Expand $5(x+7)$ using the distributive property.|Expand $-2(3-y)$|Factor the expression $12x + 18$.|Expand $-2(5 - 2x) + 3(x - 7)$. Check your work.		When you distribute make sure you multiply **every** term in the expression. Students often make the mistake of only di… | Students often forget to keep the sign with the multiplier.	
chapters/Unit_2/2.5_Inputs_Outputs_and_Functions.qmd	2	2.5	2.5 - Inputs and Outputs of Functions		So far in this unit, you’ve learned how to evaluate expressions by plugging in values for variables.	7	3	2	1	0	2	1	0	Describe in words what $g(y) = 2y - 2$ does.|Evaluate $f(2)$ if $f(x) = 9 - 3x$|Simplify $q(x) = 2(x+5) + 3x$. Then find $q(3)$.		Read $f(x)$ as “$f$ of $x$.” It is a single name for the output when the input is $x$. It does **not** mean to multiply… | It’s okay if **different inputs** give the **same output**. For example, two different temperatures could both “feel li…	A shorter rule makes evaluation quicker and reduces mistakes.
chapters/Unit_2/2.6_Equivalent_Expressions.qmd	2	2.6	2.6 - Equivalent Expressions		When you visit another country, you might hear the same word said in different ways.	8	1	1	1	1	0	0	0	Prove $3 - 2(x + 1)$ and $x + 1 - 3x$ are equivalent.	Testing a few values gives **evidence**, not a full **proof**. A proof shows it's true for **all** inputs.		Yes. You can never prove that two expressions **are** equivalent by testing values, but one counterexample is enough to…
chapters/Unit_3/3.1_Solving_One-Step_Equations.qmd	3	3.1	3.1 - Solving One-Step Equations		"In Unit 2, we learned how to work with {{< glink ""equivalent expressions"" >}}."	5	4	1	0	1	0	0	0	Solve $x + 9 = 11$.|Solve $x - 12 = 2$.|Solve $3x = 15$.|Solve $\frac{x}{5}=10$	Do the same move to **both** sides.		
chapters/Unit_3/3.2_Solving_Two-Step_Equations.qmd	3	3.2	3.2 - Solving Two-Step Equations	3.2.2 - Word Problems with Two-Step Equations	With one-step equations, we identified the operation and did the opposite to both sides.	6	3	1	0	1	0	0	0	Solve $3x - 2 = 7$.|Solve $\frac{x}{2} + 6 = 10$.|Solve $3 - x = 7$	When a variable has no coefficient, the coefficient is $1$. When the variable has only a minus sign, the coefficient is…		
chapters/Unit_3/3.3_Multi-Step_Equations_with_Distribution.qmd	3	3.3	3.3 - Multi-Step Equations with Distribution		In the last lessons, you learned how to solve one-step and two-step {{< glink slug=equation text=equations >}}.	7	2	1	0	0	0	0	0	Solve $3(2x + 1) = 15$|Solve $4(x + 2) - 3x + 5 = 18$			
